idx,subsi,account,url,mkt_name,page_type,slide_YN,slide_path,toolbar_YN,toolbar_xpath,click_YN,click_xpath,desc
51,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11-pro-max?sku=190199380424,lo11ProMax_512gb_24_spacegray,SP,,,,,,,
52,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11-pro-max?sku=190199380424,iPhone_Promo,SP,,,,,Y,"//*[@id=""main-content""]/div/div/ng-component/tmo-view-component/div/div/div/div/product-details-element/div[1]/div[2]/div/div/a",scroll 있음
53,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11-pro?sku=190199388116,lo11Pro_64gb_24_midnightgreen,SP,,,,,Y,,
54,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11-pro?sku=190199388154,lo11Pro_256gb_24_midnightgreen,SP,,,,,,,
55,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11-pro?sku=190199388192,lo11Pro_512gb_24_midnightgreen,SP,,,,,,,
56,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11?sku=190199219991,lo11_64gb_24_midnightgreen,SP,,,,,,,
57,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11?sku=190199220058,lo11_128gb_24_midnightgreen,SP,,,,,,,
58,SEA,TMO,https://www.t-mobile.com/cell-phone/apple-iphone-11?sku=190199220119,lo11_256gb_24_midnightgreen,SP,,,,,,,
59,SEA,TMO,https://www.t-mobile.com/cell-phone/samsung-galaxy-note10?sku=610214661425,n10_256gb_24_aurawhite,SP,,,,,,,
60,SEA,TMO,https://www.t-mobile.com/cell-phone/samsung-galaxy-note10?sku=610214661425,n10_256gb_24_aurawhite,SP,,,,,Y,"//*[@id=""main-content""]/div/div/ng-component/tmo-view-component/div/div/div/div/product-details-element/div[1]/div[2]/div/div/a",promotion select
61,SEA,TMO,https://www.t-mobile.com/cell-phone/samsung-galaxy-note10-plus?sku=610214661395,n10+_256gb_24_aurablack,SP,,,,,,,
62,SEA,TMO,https://www.t-mobile.com/cell-phone/samsung-galaxy-note10-plus?sku=610214661395,n10+_256gb_24_aurablack,SP,,,,,,,
63,SEA,TMO,https://www.t-mobile.com/cell-phone/samsung-galaxy-note10-plus?sku=610214661630,n10+_512gb_24_aurablack,SP,,,,,,,
64,SEA,TMO,https://www.t-mobile.com/cell-phone/samsung-galaxy-note10-plus?sku=610214661630,n10+_512gb_24_aurablack,SP,,,,,Y,"//*[@id=""main-content""]/div/div/ng-component/tmo-view-component/div/div/div/div/product-details-element/div[1]/div[2]/div/div/a",promotion select
65,SEA,TMO,https://www.t-mobile.com/offers/samsung-phone-deals,Samsung_promo,SP,,,,,,,
66,SEA,TMO,https://www.t-mobile.com/devices/samsung-galaxy-note-10-and-10-plus?icid=WMM_TMNG_P_19SMSGNT10_UDMU1Q4OFEYW6ZDRK18131,Galaxy_Samsung_Promo,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/?intl=nosplash,KeyVisual,HP,Y,,,,,,슬라이드 있음
,SEA,BBY,https://www.bestbuy.com/site/electronics/mobile-cell-phones/abcat0800000.c?id=abcat0800000,CellPhonePG,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/iphone/shop-iphone-11-iphone-11-pro-and-iphone-11-pro-max/pcmcat1568147641595.c?id=pcmcat1568147641595,Tradein_offer,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/top-deals/cell-phone-deals/pcmcat1563302848653.c?id=pcmcat1563302848653,CellPhone_deal,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/promo/samsung-phone-offer,Samsung_Offer,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/verizon/verizon-phones/pcmcat211300050002.c?id=pcmcat211300050002,Verizon_Phone,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-pro-max-64gb-gold-verizon/6341560.p?skuId=6341560,Verizon_lo11ProMax_64gb_24,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-pro-max-256gb-gold-verizon/6341564.p?skuId=6341564,Verizon_lo11ProMax_256gb_24,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-pro-max-512gb-gold-verizon/6341568.p?skuId=6341568,Verizon_lo11ProMax_512gb_24,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-pro-64gb-gold-verizon/6341361.p?skuId=6341361,Verizon_lo11Pro_64gb_24,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-pro-256gb-gold-verizon/6341550.p?skuId=6341550,Verizon_lo11Pro_256gb_24,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-pro-512gb-gold-verizon/6341555.p?skuId=6341555,Verizon_lo11Pro_512gb_24,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple/apple-tv-plus-streaming-service/pcmcat1568305412064.c?id=pcmcat1568305412064,Verizon_apple_tv_offer,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-128gb-black-verizon/6341347.p?skuId=6341347,Verizon_lo11_128gb_24,SP,,,,,,,
,SEA,BBY,https://www.bestbuy.com/site/apple-iphone-11-256gb-black-verizon/6341352.p?skuId=6341352,Verizon_lo11_256gb_24,SP,,,,,,,
,,,https://www.bestbuy.com/site/at-t-wireless/at-t-mobile-cell-phones/pcmcat211300050006.c?id=pcmcat211300050006,ATT_Phone,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-max-64gb-midnight-green-at-t/6341281.p?skuId=6341281,ATT_lo11ProMax_64gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-max-256gb-space-gray-at-t/6341322.p?skuId=6341322,ATT_lo11ProMax_256gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-max-512gb-midnight-green-at-t/6341330.p?skuId=6341330,ATT_lo11ProMax_512gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-64gb-midnight-green-at-t/6341309.p?skuId=6341309,ATT_lo11Pro_64gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-256gb-midnight-green-at-t/6341312.p?skuId=6341312,ATT_lo11Pro_256gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-512gb-midnight-green-at-t/6341317.p?skuId=6341317,ATT_lo11Pro_512gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-64gb-black-at-t/6341287.p?skuId=6341287,ATT_lo11_64gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-128gb-black-at-t/6341293.p?skuId=6341293,ATT_lo11_128gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-256gb-black-at-t/6341298.p?skuId=6341298,ATT_lo11_256gb_30,SP,,,,,,,
,,,https://www.bestbuy.com/site/sprint/sprint-mobile-cell-phones/pcmcat211300050010.c?id=pcmcat211300050010,SPRINT_Phone,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-max-64gb-midnight-green-sprint/6341431.p?skuId=6341431,SPRINT_lo11ProMax_64gb_24,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-max-256gb-midnight-green-sprint/6341478.p?skuId=6341478,SPRINT_lo11ProMax_256gb_24,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-max-512gb-midnight-green-sprint/6341482.p?skuId=6341482,SPRINT_lo11ProMax_512gb_24,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-64gb-midnight-green-sprint/6341462.p?skuId=6341462,SPRINT_lo11Pro_64gb_24,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-256gb-midnight-green-sprint/6341466.p?skuId=6341466,SPRINT_lo11Pro_256gb_24,SP,,,,,,,
,,,https://www.bestbuy.com/site/apple-iphone-11-pro-512gb-midnight-green-sprint/6341470.p?skuId=6341470,SPRINT_lo11Pro_512gb_24,SP,,,,,,,
,,,,SPRINT_lo11_64gb_24,SP,,,,,,,
,,,,SPRINT_lo11_128gb_24,SP,,,,,,,
,,,,SPRINT_lo11_256gb_24,SP,,,,,,,
